stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
n1504-1,久保一丁目,掛川市内循環南回り,34.766456,138.006763,"",0,n1504,0
n1505-1,掛川年金事務所前,市街地循環線 南回り,34.765673,138.005851,"",0,n1505,0
n1484,塩町,掛川市内循環南回り,34.770622,138.018058,"",1,"",0
n1498,神代地公民館前,掛川市内循環南回り,34.767245,138.017538,"",1,"",0
n1515-1,長谷西,掛川市内循環南回り,34.766364,137.993651,"",0,n1515,0
n1444,掛川駅北口,掛川市内循環,34.76977,138.014033,"",1,"",0
n1511-1,資生堂アートハウス入口,掛川市内循環南回り,34.762641,138.000147,"",0,n1511,0
n1521-1,中央二丁目,掛川市内循環南回り,34.77088,138.007124,"",0,n1521,0
n3454,上張,掛川市内循環南回り,34.768134,138.019491,"",1,"",0
n1485,緑ヶ丘一丁目,掛川市内循環南回り,34.768034,138.021215,"",1,"",0
n1490,杉谷一丁目,掛川市内循環南回り,34.765599,138.031032,"",1,"",0
n1497,南二丁目,掛川市内循環南回り,34.765358,138.017817,"",1,"",0
n1505,掛川年金事務所前,市街地循環線 南回り,34.765673,138.005851,"",1,"",0
n1454,市役所,掛川市内循環,34.769297,137.998726,"",1,"",0
n1520,中央小学校前,掛川市内循環南回り,34.770991,138.005292,"",1,"",0
n1502-1,美感ホール入口,掛川市内循環南回り,34.767448,138.010986,"",0,n1502,0
n1514-1,長谷寺前,掛川市内循環南回り,34.7656247,137.9915045,"",0,n1514,0
n1491,杉谷,掛川市内循環南回り,34.762586,138.029352,"",1,"",0
n1503,亀の甲一丁目,掛川市内循環南回り,34.766949,138.009024,"",1,"",0
n1507,富士見台霊園,掛川市内循環南回り,34.753825,138.003775,"",1,"",0
n1484-1,塩町,掛川市内循環南回り,34.770622,138.018058,"",0,n1484,0
n1485-1,緑ヶ丘一丁目,掛川市内循環南回り,34.768034,138.021215,"",0,n1485,0
n1486-1,緑ヶ丘二丁目,掛川市内循環南回り,34.768136,138.023997,"",0,n1486,0
n1500-1,掛川駅南口前,掛川市内循環南回り,34.7684,138.015154,"",0,n1500,0
